,val_acc,test_acc,n_bad_images,n_unique_bad_images,i_bad_images,i_unique_bad_images,ii_bad_images,ii_unique_bad_images,iii_bad_images,iii_unique_bad_images,iv_bad_images,iv_unique_bad_images,v_bad_images,v_unique_bad_images,vi_bad_images,vi_unique_bad_images,vii_bad_images,vii_unique_bad_images,viii_bad_images,viii_unique_bad_images,ix_bad_images,ix_unique_bad_images,x_bad_images,x_unique_bad_images
0,0.8582278490066528,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.9354430437088013,0.7307692170143127,112.0,112.0,7.0,7.0,17.0,17.0,18.0,18.0,17.0,17.0,2.0,2.0,8.0,8.0,12.0,12.0,12.0,12.0,18.0,18.0,1.0,1.0
2,0.9708860516548157,0.6730769276618958,163.0,160.0,8.0,8.0,21.0,21.0,21.0,21.0,25.0,25.0,4.0,4.0,13.0,13.0,23.0,21.0,23.0,23.0,22.0,21.0,3.0,3.0
3,0.9556962251663208,0.8269230723381042,186.0,179.0,9.0,9.0,23.0,23.0,21.0,21.0,29.0,29.0,5.0,5.0,18.0,17.0,29.0,25.0,23.0,23.0,24.0,22.0,5.0,5.0
4,0.9810126423835754,0.8461538553237915,221.0,210.0,11.0,11.0,33.0,32.0,21.0,21.0,29.0,29.0,5.0,5.0,23.0,21.0,32.0,28.0,32.0,31.0,26.0,23.0,9.0,9.0
5,0.9810126423835754,0.7307692170143127,236.0,222.0,11.0,11.0,35.0,33.0,22.0,22.0,35.0,34.0,6.0,6.0,23.0,21.0,32.0,28.0,34.0,33.0,28.0,24.0,10.0,10.0
6,0.9848101139068604,0.75,251.0,233.0,12.0,12.0,36.0,33.0,23.0,23.0,36.0,35.0,6.0,6.0,25.0,22.0,38.0,32.0,34.0,33.0,31.0,27.0,10.0,10.0
7,0.9734176993370056,0.75,263.0,237.0,12.0,12.0,38.0,34.0,23.0,23.0,38.0,35.0,6.0,6.0,26.0,23.0,39.0,32.0,39.0,35.0,32.0,27.0,10.0,10.0
8,0.9772151708602905,0.7307692170143127,284.0,243.0,13.0,12.0,42.0,36.0,23.0,23.0,43.0,37.0,7.0,6.0,26.0,23.0,41.0,32.0,47.0,37.0,32.0,27.0,10.0,10.0
9,0.9810126423835754,0.7692307829856873,302.0,251.0,13.0,12.0,44.0,36.0,24.0,24.0,45.0,38.0,8.0,6.0,29.0,26.0,42.0,32.0,53.0,39.0,34.0,28.0,10.0,10.0
10,0.9784809947013855,0.7884615659713745,317.0,257.0,13.0,12.0,45.0,36.0,24.0,24.0,47.0,38.0,8.0,6.0,29.0,26.0,43.0,32.0,58.0,41.0,38.0,30.0,12.0,12.0
11,0.9898734092712402,0.7884615659713745,334.0,267.0,13.0,12.0,49.0,37.0,26.0,25.0,51.0,41.0,8.0,6.0,32.0,28.0,45.0,33.0,60.0,43.0,38.0,30.0,12.0,12.0
12,0.9848101139068604,0.7307692170143127,342.0,269.0,13.0,12.0,49.0,37.0,27.0,26.0,51.0,41.0,8.0,6.0,34.0,28.0,45.0,33.0,62.0,44.0,40.0,30.0,13.0,12.0
13,0.9759493470191956,0.7115384340286255,354.0,275.0,13.0,12.0,51.0,37.0,27.0,26.0,53.0,42.0,8.0,6.0,34.0,28.0,46.0,33.0,64.0,45.0,41.0,30.0,17.0,16.0
14,0.9835442900657654,0.75,373.0,283.0,13.0,12.0,54.0,38.0,29.0,26.0,58.0,44.0,8.0,6.0,34.0,28.0,50.0,36.0,65.0,45.0,44.0,32.0,18.0,16.0
15,0.9797468185424805,0.692307710647583,386.0,284.0,14.0,12.0,56.0,38.0,29.0,26.0,58.0,44.0,8.0,6.0,35.0,28.0,52.0,36.0,66.0,45.0,48.0,32.0,20.0,17.0
16,0.9898734092712402,0.75,402.0,290.0,17.0,14.0,57.0,38.0,31.0,28.0,61.0,44.0,9.0,7.0,36.0,28.0,54.0,37.0,67.0,45.0,49.0,32.0,21.0,17.0
17,0.9797468185424805,0.6538461446762085,410.0,294.0,18.0,14.0,58.0,39.0,31.0,28.0,63.0,44.0,9.0,7.0,36.0,28.0,55.0,37.0,68.0,46.0,51.0,34.0,21.0,17.0
18,0.9898734092712402,0.7307692170143127,426.0,299.0,19.0,15.0,60.0,40.0,34.0,28.0,64.0,44.0,10.0,8.0,37.0,28.0,58.0,38.0,68.0,46.0,54.0,34.0,22.0,18.0
19,0.9848101139068604,0.7115384340286255,434.0,302.0,20.0,16.0,61.0,41.0,35.0,28.0,66.0,44.0,10.0,8.0,37.0,28.0,61.0,39.0,68.0,46.0,54.0,34.0,22.0,18.0
20,0.9848101139068604,0.6730769276618958,446.0,304.0,20.0,16.0,63.0,42.0,36.0,28.0,67.0,44.0,11.0,8.0,40.0,29.0,61.0,39.0,70.0,46.0,56.0,34.0,22.0,18.0
21,0.9886075854301453,0.692307710647583,458.0,308.0,22.0,17.0,64.0,43.0,37.0,29.0,70.0,44.0,11.0,8.0,41.0,29.0,61.0,39.0,74.0,47.0,56.0,34.0,22.0,18.0
22,0.9886075854301453,0.7115384340286255,467.0,309.0,22.0,17.0,67.0,43.0,39.0,29.0,70.0,44.0,11.0,8.0,42.0,30.0,63.0,39.0,75.0,47.0,56.0,34.0,22.0,18.0
23,0.9898734092712402,0.807692289352417,476.0,313.0,25.0,18.0,69.0,44.0,40.0,30.0,70.0,44.0,11.0,8.0,43.0,30.0,63.0,39.0,76.0,48.0,57.0,34.0,22.0,18.0
24,0.9835442900657654,0.7115384340286255,484.0,316.0,25.0,18.0,71.0,45.0,40.0,30.0,70.0,44.0,11.0,8.0,45.0,31.0,64.0,39.0,77.0,49.0,58.0,34.0,23.0,18.0
25,0.9835442900657654,0.75,497.0,319.0,26.0,19.0,73.0,45.0,40.0,30.0,72.0,44.0,11.0,8.0,46.0,31.0,68.0,41.0,79.0,49.0,59.0,34.0,23.0,18.0
26,0.9898734092712402,0.7115384340286255,510.0,321.0,26.0,19.0,74.0,45.0,40.0,30.0,74.0,44.0,13.0,9.0,48.0,32.0,70.0,41.0,83.0,49.0,59.0,34.0,23.0,18.0
27,0.9835442900657654,0.807692289352417,518.0,324.0,27.0,19.0,74.0,45.0,40.0,30.0,75.0,45.0,14.0,9.0,49.0,32.0,70.0,41.0,84.0,50.0,60.0,34.0,25.0,19.0
28,0.9848101139068604,0.692307710647583,531.0,328.0,27.0,19.0,76.0,46.0,40.0,30.0,75.0,45.0,15.0,10.0,49.0,32.0,72.0,41.0,88.0,51.0,64.0,35.0,25.0,19.0
29,0.9784809947013855,0.75,543.0,330.0,30.0,20.0,76.0,46.0,41.0,30.0,75.0,45.0,16.0,11.0,49.0,32.0,73.0,41.0,91.0,51.0,67.0,35.0,25.0,19.0
30,0.9810126423835754,0.7884615659713745,560.0,333.0,31.0,20.0,77.0,46.0,41.0,30.0,78.0,45.0,16.0,11.0,49.0,32.0,76.0,41.0,93.0,51.0,73.0,38.0,26.0,19.0
31,0.9860759377479553,0.7307692170143127,575.0,339.0,32.0,21.0,78.0,46.0,45.0,32.0,83.0,46.0,17.0,12.0,50.0,33.0,76.0,41.0,93.0,51.0,75.0,38.0,26.0,19.0
32,0.9835442900657654,0.75,586.0,340.0,33.0,21.0,79.0,46.0,46.0,32.0,85.0,46.0,17.0,12.0,50.0,33.0,79.0,41.0,95.0,52.0,75.0,38.0,27.0,19.0
33,0.9860759377479553,0.7115384340286255,599.0,343.0,33.0,21.0,80.0,46.0,47.0,32.0,85.0,46.0,17.0,12.0,50.0,33.0,83.0,43.0,97.0,52.0,79.0,39.0,28.0,19.0
34,0.9822784662246704,0.807692289352417,610.0,347.0,33.0,21.0,82.0,47.0,49.0,33.0,87.0,48.0,17.0,12.0,51.0,33.0,86.0,43.0,97.0,52.0,79.0,39.0,29.0,19.0
35,0.9848101139068604,0.7115384340286255,624.0,349.0,34.0,22.0,85.0,47.0,49.0,33.0,88.0,48.0,17.0,12.0,51.0,33.0,88.0,43.0,99.0,52.0,80.0,40.0,33.0,19.0
36,0.9848101139068604,0.75,636.0,351.0,34.0,22.0,87.0,47.0,49.0,33.0,89.0,48.0,19.0,14.0,52.0,33.0,88.0,43.0,103.0,52.0,82.0,40.0,33.0,19.0
37,0.9835442900657654,0.75,648.0,351.0,34.0,22.0,87.0,47.0,49.0,33.0,90.0,48.0,19.0,14.0,52.0,33.0,88.0,43.0,109.0,52.0,86.0,40.0,34.0,19.0
38,0.9848101139068604,0.8653846383094788,661.0,352.0,34.0,22.0,89.0,47.0,50.0,33.0,93.0,48.0,20.0,14.0,52.0,33.0,91.0,44.0,110.0,52.0,87.0,40.0,35.0,19.0
39,0.9860759377479553,0.692307710647583,673.0,357.0,35.0,23.0,90.0,47.0,52.0,33.0,94.0,48.0,20.0,14.0,53.0,34.0,97.0,47.0,110.0,52.0,87.0,40.0,35.0,19.0
40,0.9848101139068604,0.75,684.0,358.0,37.0,23.0,94.0,48.0,52.0,33.0,94.0,48.0,20.0,14.0,53.0,34.0,98.0,47.0,110.0,52.0,89.0,40.0,37.0,19.0
41,0.9860759377479553,0.807692289352417,696.0,361.0,38.0,23.0,96.0,49.0,53.0,34.0,96.0,49.0,20.0,14.0,53.0,34.0,101.0,47.0,110.0,52.0,90.0,40.0,39.0,19.0
42,0.9848101139068604,0.7115384340286255,707.0,362.0,38.0,23.0,99.0,49.0,55.0,35.0,96.0,49.0,20.0,14.0,55.0,34.0,102.0,47.0,111.0,52.0,91.0,40.0,40.0,19.0
43,0.9797468185424805,0.7115384340286255,719.0,365.0,41.0,25.0,100.0,49.0,56.0,36.0,98.0,49.0,20.0,14.0,55.0,34.0,102.0,47.0,112.0,52.0,95.0,40.0,40.0,19.0
44,0.9873417615890503,0.75,735.0,367.0,41.0,25.0,104.0,51.0,57.0,36.0,100.0,49.0,23.0,14.0,57.0,34.0,103.0,47.0,115.0,52.0,95.0,40.0,40.0,19.0
